year,month,date,company,track,volume_desc,volume,round
2014,Jan,Jan 2014,VIPKID,Language Learning,300,300,Seed/Angel
2014,Oct,Oct 2014,VIPKID,Language Learning,3185,3185,A
2015,Oct,Oct 2015,VIPKID,Language Learning,12740,12740,B
2016,Aug,Aug 2016,VIPKID,Language Learning,65000,65000,C
2017,Aug,Aug 2017,VIPKID,Language Learning,136000,136000,D
2018,Apr,Apr 2018,VIPKID,Language Learning,325000,325000,D+
2014,Jun,Jun 2014,Zhihu,Paid Knowledge,14300,14300,B
2015,Sep,Sep 2015,Zhihu,Paid Knowledge,35035,35035,C
2017,Jan,Jan 2017,Zhihu,Paid Knowledge,68000,68000,D
2018,Jul,Jul 2018,Zhihu,Paid Knowledge,183600,183600,E
2014,Jul,Jul 2014,17zuoye,K12,13000,13000,C
2015,Jan,Jan 2015,17zuoye,K12,63700,63700,D
2018,Mar,Mar 2018,17zuoye,K12,162500,162500,E
2014,Feb,Feb 2014,iTutorGroup,Language Learning,65000,65000,B
2015,Nov,Nov 2015,iTutorGroup,Language Learning,127400,127400,C
2014,Apr,Apr 2014,Hujiang,Language Learning,52000,52000,C
2015,Oct,Oct 2015,Hujiang,Language Learning,100000,100000,D
2018,Jul,Jul 2018,Hujiang,Language Learning,31900,31900,E
2015,Oct,Oct 2015,Zuoyebang,K12,15600,15600,A
2016,Sep,Sep 2016,Zuoyebang,K12,39000,39000,B
2017,Aug,Aug 2017,Zuoyebang,K12,102000,102000,C
2014,Jul,Jul 2014,Yuantiku,K12,9750,9750,C
2015,Mar,Mar 2015,Yuantiku,K12,38220,38220,D
2016,May,May 2016,Yuantiku,K12,26000,26000,PE
2017,Jun,Jun 2017,Yuantiku,K12,81600,81600,E
2014,Mar,Mar 2014,Xueba100,K12,3250,3250,A
2015,Jun,Jun 2015,Xueba100,K12,31850,31850,B
2016,Nov,Nov 2016,Xueba100,K12,0,31850,B+
2017,Jan,Jan 2017,Xueba100,K12,68000,68000,C
2014,Sep,Sep 2014,ChangingEdu,K12,1300,1300,A
2015,May,May 2015,ChangingEdu,K12,9555,9555,B
2015,Apr,Apr 2015,ChangingEdu,K12,0,9555,B+
2015,Jun,Jun 2015,ChangingEdu,K12,63700,63700,C
2016,Dec,Dec 2016,ChangingEdu,K12,12240,12240,C+
2017,Oct,Oct 2017,ChangingEdu,K12,35750,35750,D
2015,Jul,Jul 2015,Zhangmen,K12,2000,2000,A
2016,Mar,Mar 2016,Zhangmen,K12,2000,2000,B
2016,Sep,Sep 2016,Zhangmen,K12,20000,20000,C
2017,Jul,Jul 2017,Zhangmen,K12,0,20000,C+
2018,Jan,Jan 2018,Zhangmen,K12,78000,78000,D
2015,Jun,Jun 2015,DaDaABC,Language Learning,2000,2000,A
2016,Sep,Sep 2016,DaDaABC,Language Learning,20000,20000,B
2016,Dec,Dec 2016,DaDaABC,Language Learning,20000,20000,B+
2018,Jan,Jan 2018,DaDaABC,Language Learning,65000,65000,C
2014,Dec,Dec 2014,Knowbox,K12,637,637,Seed/Angel
2015,Apr,Apr 2015,Knowbox,K12,6370,6370,A
2016,Oct,Oct 2016,Knowbox,K12,7000,7000,B
2017,Oct,Oct 2017,Knowbox,K12,20000,20000,B+
2018,Apr,Apr 2018,Knowbox,K12,65000,65000,C
2015,Aug,Aug 2015,Gaosi Education Group,K12,40000,40000,B
2017,Sep,Sep 2017,Gaosi Education Group,K12,55000,55000,C
2014,Apr,Apr 2014,Tsingda eEDU,K12,5000,5000,A
2014,Dec,Dec 2014,Tsingda eEDU,K12,15925,15925,B
2015,Mar,Mar 2015,Tsingda eEDU,K12,31213,31213,C
2016,Jan,Jan 2016,Tsingda eEDU,K12,0,31213,Undiscloused
2014,Apr,Apr 2014,ABC360,Language Learning,800,800,Seed/Angel
2014,Oct,Oct 2014,ABC360,Language Learning,2000,2000,A
2016,Mar,Mar 2016,ABC360,Language Learning,7000,7000,B
2017,Apr,Apr 2017,ABC360,Language Learning,20000,20000,B+
2018,Jun,Jun 2018,ABC360,Language Learning,52000,52000,C
2017,Sep,Sep 2017,Doing Now,Holistic Edu.,50000,50000,B
2016,Sep,Sep 2016,Doing Now,Holistic Edu.,30000,30000,A
2014,Apr,Apr 2014,WheelNet,Vocational Edu.,0,10000,A
2014,Dec,Dec 2014,WheelNet,Vocational Edu.,16500,16500,B
2016,Apr,Apr 2016,WheelNet,Vocational Edu.,38500,38500,C
2016,Dec,Dec 2016,WheelNet,Vocational Edu.,10000,10000,C+
2014,Mar,Mar 2014,Huikedu,Higher Edu.,13000,13000,A
2015,Nov,Nov 2015,Huikedu,Higher Edu.,30000,30000,B
2016,Oct,Oct 2016,Huikedu,Higher Edu.,0,30000,C
2015,Mar,Mar 2015,Xiaozhan Jiaoyu,Language Learning,18473,18473,B
2015,Dec,Dec 2015,Xiaozhan Jiaoyu,Language Learning,53508,53508,C
2015,Mar,Mar 2015,Emerald Education,Vocational Edu.,6000,6000,A
2015,Dec,Dec 2015,Emerald Education,Vocational Edu.,15000,15000,B
2016,Nov,Nov 2016,Emerald Education,Vocational Edu.,20000,20000,C
2017,Jan,Jan 2017,Emerald Education,Vocational Edu.,30000,30000,C+
2014,May,May 2014,BOXFiSH,Language Learning,1300,1300,Seed/Angel
2015,Apr,Apr 2015,BOXFiSH,Language Learning,7800,7800,A
2016,Jan,Jan 2016,BOXFiSH,Language Learning,19500,19500,B
2016,Nov,Nov 2016,BOXFiSH,Language Learning,0,19500,B+
2018,May,May 2018,BOXFiSH,Language Learning,20000,20000,C
2015,Mar,Mar 2015,Liulishuo,Language Learning,13000,13000,B
2017,Jul,Jul 2017,Liulishuo,Language Learning,54400,54400,C
2015,Sep,Sep 2015,Sundata,Edu. Informationization,11000,11000,A
2016,Mar,Mar 2016,Sundata,Edu. Informationization,0,11000,Undiscloused
2016,Jun,Jun 2016,Sundata,Edu. Informationization,0,11000,Undiscloused
2018,Apr,Apr 2018,Sundata,Edu. Informationization,28100,28100,Private Placement of Share
2016,Dec,Dec 2016,Codemao,STEAM,2000,2000,A
2017,Nov,Nov 2017,Codemao,STEAM,12000,12000,B
2017,May,May 2017,Codemao,STEAM,1500,1500,A+
2018,May,May 2018,Codemao,STEAM,30000,30000,C
2018,Jan,Jan 2018,Codemao,STEAM,0,12000,Strategic Investment
2014,Jun,Jun 2014,Afanti,K12,1000,1000,Seed/Angel
2014,Dec,Dec 2014,Afanti,K12,11466,11466,A
2015,Dec,Dec 2015,Afanti,K12,38220,38220,B
2016,Jan,Jan 2016,OneSmart International Education Group,K12,50000,50000,Pre-IPO
2014,Aug,Aug 2014,Xing Shuai Teach ,Vocational Edu.,19500,19500,B
2016,Apr,Apr 2016,Xing Shuai Teach ,Vocational Edu.,30000,30000,B
2015,Dec,Dec 2015,Zhihui Shu,Higher Edu.,0,2000,A
2016,Mar,Mar 2016,Zhihui Shu,Higher Edu.,0,10000,A+
2016,Oct,Oct 2016,Zhihui Shu,Higher Edu.,35000,35000,B
